Image_Index, Camera, Point_Index, X, Y
1, left, 1, 2986.3862, 2172.7295
1, left, 2, 3003.9326, 2126.9497
1, left, 3, 3021.8838, 2081.6716
1, left, 4, 3039.2954, 2035.9827
1, left, 5, 3056.8420, 1990.0646
1, left, 6, 3074.6919, 1944.9338
1, left, 7, 2954.0046, 2163.9541
1, left, 8, 2971.5408, 2118.2573
1, left, 9, 2989.2617, 2072.5950
1, left, 10, 3007.0806, 2026.4080
1, left, 11, 3025.3616, 1980.0872
1, left, 12, 3042.5417, 1933.8743
1, left, 13, 2920.7639, 2155.7542
1, left, 14, 2938.7544, 2109.1750
1, left, 15, 2956.8604, 2062.6038
1, left, 16, 2974.4163, 2016.5057
1, left, 17, 2992.3049, 1970.0526
1, left, 18, 3010.3718, 1923.6399
1, left, 19, 2886.6050, 2147.3467
1, left, 20, 2905.1184, 2100.2649
1, left, 21, 2922.7571, 2053.9636
1, left, 22, 2941.1931, 2006.4670
1, left, 23, 2959.4707, 1959.6335
1, left, 24, 2977.2236, 1912.2745
1, left, 25, 2852.6431, 2138.0356
1, left, 26, 2870.9155, 2091.0437
1, left, 27, 2889.0654, 2043.6471
1, left, 28, 2907.2080, 1996.3647
1, left, 29, 2925.1846, 1948.9155
1, left, 30, 2943.6741, 1901.9320
1, left, 31, 2817.5522, 2129.1169
1, left, 32, 2835.9363, 2081.3604
1, left, 33, 2854.2747, 2033.6780
1, left, 34, 2872.5686, 1985.8430
1, left, 35, 2890.9111, 1938.1818
1, left, 36, 2909.2639, 1890.1918
1, left, 37, 2781.9956, 2119.7788
1, left, 38, 2800.1775, 2072.0767
1, left, 39, 2818.9131, 2023.3435
1, left, 40, 2837.2656, 1975.6093
1, left, 41, 2856.0208, 1926.9711
1, left, 42, 2874.5388, 1879.1002
1, left, 43, 2745.6257, 2110.2141
1, left, 44, 2764.4331, 2061.6360
1, left, 45, 2782.5950, 2013.8597
1, left, 46, 2801.6064, 1964.6311
1, left, 47, 2820.1970, 1916.4001
1, left, 48, 2838.8252, 1867.2468
1, left, 49, 2708.8691, 2100.3687
1, left, 50, 2727.2412, 2051.9121
1, left, 51, 2746.3940, 2002.4011
1, left, 52, 2765.2180, 1953.8608
1, left, 53, 2784.2908, 1904.7002
1, left, 54, 2803.1228, 1855.8258
1, right, 1, 2824.2102, 2221.3008
1, right, 2, 2824.9399, 2145.5693
1, right, 3, 2826.1758, 2069.8962
1, right, 4, 2826.5403, 1991.9536
1, right, 5, 2827.1511, 1913.8914
1, right, 6, 2827.6160, 1834.5431
1, right, 7, 2738.0884, 2220.8718
1, right, 8, 2738.9031, 2146.2771
1, right, 9, 2738.6335, 2069.6663
1, right, 10, 2739.3674, 1993.4449
1, right, 11, 2739.5864, 1914.0935
1, right, 12, 2738.0000, 1835.0000
1, right, 13, 2653.3118, 2220.6189
1, right, 14, 2652.8347, 2145.7087
1, right, 15, 2652.0000, 2070.0000
1, right, 16, 2652.1260, 1992.7487
1, right, 17, 2651.0000, 1915.0000
1, right, 18, 2650.0000, 1836.0000
1, right, 19, 2568.1399, 2220.0696
1, right, 20, 2567.0000, 2145.0000
1, right, 21, 2566.4675, 2070.1426
1, right, 22, 2565.0000, 1993.0000
1, right, 23, 2563.2866, 1916.1925
1, right, 24, 2562.1062, 1837.1365
1, right, 25, 2484.0000, 2219.0000
1, right, 26, 2483.3833, 2144.5681
1, right, 27, 2481.0000, 2069.0000
1, right, 28, 2479.5320, 1993.1029
1, right, 29, 2477.0000, 1916.0000
1, right, 30, 2475.0000, 1838.0000
1, right, 31, 2400.9929, 2218.7537
1, right, 32, 2397.5444, 2142.2949
1, right, 33, 2397.6367, 2068.2095
1, right, 34, 2394.0000, 1993.0000
1, right, 35, 2392.4253, 1915.5125
1, right, 36, 2389.0000, 1838.0000
1, right, 37, 2318.0000, 2217.0000
1, right, 38, 2316.8767, 2142.5454
1, right, 39, 2313.0000, 2068.0000
1, right, 40, 2311.6265, 1991.4248
1, right, 41, 2307.0000, 1916.0000
1, right, 42, 2303.1812, 1839.4043
1, right, 43, 2237.0000, 2216.0000
1, right, 44, 2233.0000, 2142.0000
1, right, 45, 2230.0000, 2068.0000
1, right, 46, 2227.0000, 1992.0000
1, right, 47, 2223.6672, 1915.6117
1, right, 48, 2218.4761, 1837.7881
1, right, 49, 2156.0000, 2214.0000
1, right, 50, 2152.0000, 2141.0000
1, right, 51, 2147.2715, 2065.1436
1, right, 52, 2145.0000, 1992.0000
1, right, 53, 2141.0000, 1916.0000
1, right, 54, 2136.3770, 1838.6945
2, left, 1, 2493.9795, 1336.1134
2, left, 2, 2498.5056, 1280.1338
2, left, 3, 2502.6982, 1224.4481
2, left, 4, 2506.9268, 1169.2095
2, left, 5, 2511.1570, 1114.1847
2, left, 6, 2515.1936, 1059.6552
2, left, 7, 2441.9094, 1328.8668
2, left, 8, 2446.3901, 1272.5034
2, left, 9, 2450.8989, 1216.7965
2, left, 10, 2455.4709, 1161.3094
2, left, 11, 2459.7349, 1106.3160
2, left, 12, 2464.0654, 1051.3174
2, left, 13, 2389.4158, 1321.3372
2, left, 14, 2394.0620, 1265.0698
2, left, 15, 2398.7314, 1209.0581
2, left, 16, 2403.2957, 1153.4391
2, left, 17, 2407.9829, 1098.1118
2, left, 18, 2412.6421, 1043.1990
2, left, 19, 2336.2463, 1314.1359
2, left, 20, 2341.1379, 1257.2994
2, left, 21, 2345.8464, 1201.3574
2, left, 22, 2350.8535, 1145.4240
2, left, 23, 2355.7156, 1090.0381
2, left, 24, 2360.5930, 1034.8452
2, left, 25, 2282.7581, 1306.4126
2, left, 26, 2287.7661, 1249.9678
2, left, 27, 2292.8201, 1193.5043
2, left, 28, 2297.6863, 1137.5106
2, left, 29, 2302.8643, 1081.9368
2, left, 30, 2307.7522, 1026.7170
2, left, 31, 2228.7129, 1299.1194
2, left, 32, 2234.0808, 1242.1560
2, left, 33, 2239.0579, 1185.6880
2, left, 34, 2244.3567, 1129.4733
2, left, 35, 2249.5139, 1073.7974
2, left, 36, 2254.7886, 1018.0660
2, left, 37, 2174.4822, 1291.3916
2, left, 38, 2179.8721, 1234.5552
2, left, 39, 2185.2419, 1177.7272
2, left, 40, 2190.6221, 1121.6814
2, left, 41, 2196.0642, 1065.3940
2, left, 42, 2201.2729, 1009.7235
2, left, 43, 2119.8589, 1283.9952
2, left, 44, 2125.3706, 1226.6448
2, left, 45, 2131.0061, 1169.9252
2, left, 46, 2136.5947, 1113.2408
2, left, 47, 2142.0251, 1057.1771
2, left, 48, 2147.6157, 1001.2648
2, left, 49, 2064.9297, 1276.2946
2, left, 50, 2070.7043, 1218.9729
2, left, 51, 2076.4182, 1161.6824
2, left, 52, 2082.0786, 1105.2106
2, left, 53, 2087.8013, 1048.6252
2, left, 54, 2093.5283, 992.8189
2, right, 1, 1313.0000, 1308.0000
2, right, 2, 1295.8058, 1233.9297
2, right, 3, 1278.0000, 1160.0000
2, right, 4, 1261.3268, 1085.9381
